LDDB:32.08.06 	Plagiocephaly / asymmetrical skull 	An asymmetrical skull shape. Often, but not always, caused by unilateral fusion or one coronal suture
LDDB:32.09.05 	Fontanelles, delayed closure / large 	The anterior fontanelle is usually closed by 18 months.
HP:0001250 	Seizures 	Seizures are an intermittent `abnormality of the central nervous system` (FMA:HP:0002011) due to a sudden, excessive, disorderly discharge of cerebral neurons and characterized clinically by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements. The term epilepsy is used to describe chronic, recurrent seizures.
LDDB:32.32.07 	Hydrocephalus / large ventricles, non-specific 	Increase in ventricular size. If not gross, use with caution.
LDDB:02.02.00 	Tall stature, general abnormalities 	If this category is selected all forms of 'tallness' are chosen.
LDDB:05.01.00 	Forehead, prominent etc., general abnormalities 	Use when you want to incorporate all the subdivisions listed below.
LDDB:10.01.15 	Thin / long face 	Thin from side to side and long from top to bottom.
LDDB:12.04.01 	Cleft palate 	A cleft (midline or otherwise) of the bony or soft roof of the oral cavity. Includes all shapes. If there is a cleft of the lip as well, use both in separate boxes.
LDDB:17.01.04 	Pectus excavatum 	Depression deformity of the sternum and anterior chest wall..
LDDB:17.07.01 	Hypoplastic / inverted / absent nipples 	Also called athelia.
HP:0001622 	Premature birth 	The birth of a baby of less than 37 weeks of gestational age.
HP:0002260 	Craniofacial dysmorphism 	Craniofacial dysmorphism
LDDB:05.01.03 	Prominent forehead / frontal bossing 	The term bossing means a protuberance, or round knob. A bossed forehead mostly has two prominences, divided by a shallow groove. For this feature any prominence will do (if not familial).
LDDB:06.01.06 	Dysplastic ears 	A malformed ear. A small ear (microtia) might be dysplastic in which case use both in the same box as either/or.
LDDB:07.05.05 	Microphthalmia 	"Defined as an ultrasonic measurement of axial length of less than 19mm in a child of 1 year, and less than 21mm in an adult (minus 2SD). Dysmorphologists usually diagnose this by inspection (""eyeballing!!"")"
LDDB:07.13.05 	Myopia 	Significant short-sightedness. Take family history because it might be unrelated to the syndrome under consideration.
LDDB:08.03.07 	Ptosis of eyelids 	Congenital or acquired. See elsewhere for III nerve palsy.
LDDB:10.01.07 	Flat face 	There are 3 confusing features. 1) Flat face 2) Mid facial hypoplasia 3) Malar region flat. Tend to use together in same box. The term 'dished out' face is also used in the literature.
LDDB:10.01.10 	Mid-face hypoplasia 	Confusion over three terms used. 1) Mid-face hypoplasia 2) Flat face 3) Malar region flat. Use together in same box.
LDDB:10.05.05 	Small mandible / micrognathia 	A subjective impression of a small jaw. Difficult in infancy and early childhood. Family background must be taken into account. The jaw often grows 'out' with age.
LDDB:13.01.08 	Large / prominent teeth 	Also includes taurodontia (this includes gigantic roots as seen on X-rays). Also includes prominent central incisors.
LDDB:17.05.27 	Ventricular septal defect 	Includes perimembranous (80%), muscular (5-20%), outlet (just below the pulmonary valve) and inlet (posterior and inferior to perimembranous defect). Don't be frightened to use 'Heart - general' as different defects even occur in the same family.
LDDB:17.07.03 	Wide-spaced nipples 	They are usually placed on the anterior axillary line and wide-spaced implies lateral displacement towards the mid-axilla.
LDDB:26.05.09 	Syndactyly 2-3 of toes 	Webbing of toes 2 and 3. Common in families, so use only if it isn't present in either parent.
LDDB:32.06.04 	Absences (petit mal) 	There is mostly a brief loss of consciousness with little or no motor activity i.e. it is non-convulsive. Use in conjunction with the EEG entry 3-Hz spike and wave complexes.
LDDB:32.08.04 	Macrocephaly 	A head circumference greater than 2 SD above the mean for age. Parental measurements must be taken into account.
LDDB:32.19.07 	Hypotonia (myopathic) 	Floppiness including that due to muscle disease or peripheral nerve disease. The origin is mostly central nervous system.
LDDB:01.02.02 	Generalized obesity 	An increase of bodily fat out of proportion to the family pattern, resulting in an increase of weight above the 97th centile for age.
LDDB:01.03.02 	Low birthweight (< 3rd centile) 	Below the 3rd centile for gestational age.
LDDB:07.13.01 	Vision, non-specific impairment 	It might be better to use Vision - general'.
LDDB:08.01.08 	Synophrys 	Eyebrows that meet in the middle.. Not always pathological.
LDDB:08.05.05 	Palpebral fissures slant down 	An 'anti-mongoloid' slant to the palpebral fissure, which is normally horizontal.
LDDB:09.01.09 	Small / short nose 	Short from top to bottom. Measured from nasion to sub-nasion.
LDDB:10.01.01 	Asymmetric face 	One side of the face is smaller or larger than the other. There are other codes if the asymmetry is more generalised. Use 'Find' and write 'asymmetry'.
LDDB:11.01.05 	Microstomia 	A small mouth opening.
LDDB:11.02.06 	Thin lower lip 	Mostly seen with thin upper lip, but use with discretion!
LDDB:13.01.03 	Delayed tooth eruption / development 	Normal times are (for milk teeth). 6 months - lower central incisors. 7 months - upper central incisors. 8 months - upper lateral incisors. 9 months - lower lateral incisors. 1 year - first molars. 18 months - canines. 2 years second molars
LDDB:26.01.09 	Club foot, varus 	One or both feet are in-turned from the ankle downwards. It might be fixed and structural, or postural.
LDDB:29.01.12 	Recurrent infections 	In this context, often due to immune changes.
LDDB:32.05.02 	Stereotopy 	Repetitive, purposeless, patterned and co-ordinated movements, like rocking, tongue protusion or hand wringing.
LDDB:32.05.03 	Hyperactivity 	Overactive, non-stop, often purposeless behaviour, sometimes continuing to exhaustion of both patient and parents.
LDDB:32.05.09 	Sleep disorders excl. apnoea 	Includes sleeping too much, or too little, movements during sleep, sleep walking etc.
LDDB:32.05.15 	Enuresis 	Involuntary micturition , mostly during sleep (bed wetting), occuring in the absence of a specific underlying cause.
LDDB:06.01.00 	External ears, general abnormalities 	A general category which incorporates all the categories under 'External ears general'.
LDDB:06.01.14 	Simple ears 	"Ears without the normal ""geography"" especially in the triangular fossa between the helix and the crus of the anti-helix. The ear is often 'cup' shaped (smooth and uninteresting)."
LDDB:09.01.01 	Broad base to nose. 	An increased distance between the alae nasi.
LDDB:11.01.06 	Open mouth appearance 	The mouth droops open and tends to stay that way for long periods of time. Seen in profound hypotonia of any cause.
LDDB:16.01.06 	Scoliosis 	A lateral curvature of the spine.
LDDB:17.05.01 	Atrial septum defect 	Secundum ASD - the incomplete formation or incomplete fenestration of the septum primum covering the fossa ovalis. See elsewhere for septum primum defects.
LDDB:18.01.07 	Feeding problems in infants 	A symptom rather than a sign!
LDDB:18.01.14 	Omphalocele / exomphalos 	Results from the failure of the intestine to return to the body cavity during development. It is midline, at the point of insertion of the umbilical cord. The contents are enclosed in a membranous sac. Intestine, liver pancreas, spleen may be present in the sac.
LDDB:20.03.04 	Hypospadias 	The urethral opening is on the underside of the penis.
LDDB:21.03.06 	Horseshoe kidneys 	There is fusion in the midline (inferiorly) resulting in the horse-shoe shape. In lateral fusion one pelvicalyceal system, crosses the midline to drain a portion of both kidneys.
LDDB:23.04.05 	Clinodactyly 	An incurving - often seen in little finger. It may, or may not, be important.
LDDB:23.07.06 	Proximal placement of thumb 	The thumb seems short, but in essence it is inserted much too close to the radius (i.e., proximally).
LDDB:24.01.09 	Small / hypoplastic / deepset nails 	Small, underdeveloped nails.
LDDB:32.04.07 	Dysphasia, congenital 	An inability to formulate and express words.
LDDB:32.06.02 	Infantile spasms 	Also called salaam attacks, these are flexion (or occasionally extension) spasms causing the child to flex forward and abduct and extend the arms.
LDDB:32.06.09 	Febrile convulsion 	Occur between 3 months and 5 years and are triggered by a rising temperature. Most (but not all) are brief and uncomplicated.
LDDB:32.10.01 	Flat occiput 	Flat at the back. Seen in floppy children who lie continuously on their back. And in lambdoid craniosynostosis (bilateral), in which most of the posterior fossa is under-developed..
LDDB:32.31.08 	Cerebellar vermis hypoplasia / aplasia 	If there is generalised aplasia of the cerebellum add hemisphere (see below) in a separate box. The vermis is the ancient, midline structure of the cerebellum.
LDDB:32.32.09 	Lissencephaly / pachygyria 	Lissencephaly means a smooth brain or agyria (an absence of fissures). The underlying defect is one of neuronal migration. Pachygyria is also a migration defect causing thickened and wide gyri. There is a separate entry 'neuronal migration defect' under 'Microscopic' for milder lesions and a separate entry for 'polymicrogyria'. Be flexible - use some, or all together.
LDDB:34.01.05 	Hypohidrotic or dry skin 	This might be a clinical symptom. The sweat pores are best seen on the fingertips through a magnifying instrument with bright light (otoscope) when the lack of the normal glistening drops of fluid will be noted.
HP:0000717 	Autism 	Autism is a neurodevelopmental disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior.
HP:0001328 	Specific learning disability 	Impairment of certain skills such as reading or writing, coordination, self-control, or attention that interfere with the ability to learn. The impairment is not related to a global deficiency of intelligence.
HP:0001719 	Double outlet right ventricle 	Double outlet right ventricle (DORV) is a type of ventriculoarterial connection in which both great vessels arise entirely or predominantly from the right ventricle.
HP:0008947 	Infantile muscular hypotonia 	Muscular hypotonia (abnormally low muscle tone) manifesting in infancy.
HP:0011097 	Epileptic spasms 	A sudden flexion, extension or mixed extension-flexion of predominantly proximal and truncal muscles which is usually more sustained than a myoclonic movement but not as sustained as a tonic seizure.
HP:0011443 	Abnormality of coordination 	Abnormality of coordination
LDDB:01.03.01 	Thin 	Difficult to judge when anyone is abnormally thin. Use with caution and take the family pattern into account.
LDDB:04.02.05 	Coarse hair 	The hair feels on palpation unusually hard or rough.
LDDB:06.01.09 	Posteriorly rotated ears 	Viewed with the head in an upright position, the ears are rotated backwards (posteriorly).
LDDB:06.06.00 	Deafness, general abnormalities 	Any type of deafness. Useful when you are not sure.
LDDB:07.13.06 	Nystagmus - see NEUROLOGY / NYSTAGMUS 	Nystagmus - see NEUROLOGY / NYSTAGMUS
LDDB:08.01.09 	Thick eyebrows 	Mostly thick and bushy (as in one of the authors, MB). Not always pathological.
LDDB:09.01.10 	Upturned nose 	An elevation of the tip of the nose.
LDDB:10.01.12 	Round face 	Mostly seen in generalised obesity (use if present). A moon face.
LDDB:11.04.01 	Cleft upper lip (non-midline) 	As in cleft lip and palate.
LDDB:12.05.07 	Large tongue 	Macroglossia, as in Beckwith syndrome, due to an increase in bulk of the normal tongue tissue.
LDDB:15.01.09 	Nuchal bleb / cystic hygroma of neck 	These are fluid filled cystic swellings, mostly at the back or side of the neck, but which might encircle the neck. They might have a single space, or be divided by septa into many chambers.
LDDB:17.05.17 	Patent ductus arteriosus 	Closure occurs post-natally in two stages. Within 12 hours (after full-term), shortening, thickening and protrusion of the thickened intima and then within 2-3 weeks infolding of the endothelium etc. Isolated patency occurs in 1 in 2000 live births.
LDDB:18.01.09 	Inguinal hernia 	The presence of abdominal viscera in the inguinal canal ( the open communication of the peritoneal cavity with the diverticulum known as the processus vaginalis (the inguinal canal).
LDDB:18.01.10 	Umbilical hernia 	Differs from an omphalocele in that at most it contains a mid-gut loop but no viscera. Umbilical herniae are often seen in those of African origin, and are of no significance.
LDDB:20.03.06 	Small penis (including micro) 	Be sure to differentiate from a concealed penis (concealed in fat). Less than 2cm at birth and less than 4cm before normal puberty.
LDDB:21.03.07 	Hydronephrosis 	Fluid in, and expansion of, the renal pelvis.
LDDB:23.04.03 	Brachydactyly 	Short fingers
LDDB:23.04.08 	Hyper-mobile / extensible fingers 	They give the feeling that you can move them (even temporarily dislocate them) in all directions.
LDDB:23.05.05 	Short / hypoplastic metacarpals 	Short and sometimes 'stubby'. The term brachymetaphalangy is used when both metacarpals and phlanges are short.
LDDB:25.02.00 	Hip, general abnormalities 	Anything the matter with the hip.
LDDB:26.05.05 	Over-riding toes (including clinodactyly) 	Bent, overlapping, curly toes.
LDDB:26.05.07 	Sandal gap of toes 	An increased space between the first and second toes.
LDDB:28.07.03 	Hypothyroidism / small / absent thyroid 	Mostly detected on neonatal screening.
LDDB:31.01.04 	Joint laxity 	A commonly inherited, uncomplicated feature. Check both parents before using it in a patient with a possible syndrome.
LDDB:32.01.02 	1-[12] months / onset 	Use with codes on both sides of this age range in the same box.
LDDB:32.03.03 	Respiratory distress in neonate 	Excluding apnoea (see above). It might be necessary to use this with asphyxia (see above).
LDDB:32.17.06 	Spasticity / brisk reflexes / Babinski 	Hyperactive tendon reflexes, often with increased tone and extensor plantar responses.
LDDB:34.01.06 	Eczema / atopic dermatitis 	"Chronically recurrent erythema, scaling, vesicles and crusts). Eczema means ""boil over"". Atopic dermatitis is used synonymously and means ""not confined to one place""."
LDDB:34.03.02 	Patchy depigmentation of skin 	Small or large (but discreet areas) of white depigmented skin.
HP:0000076 	Vesicoureteral reflux 	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.
HP:0000278 	Retrognathia 	An abnormality in which the `mandible` (FMA:52748) is `mislocalised posteriorly` (PATO:0001922).
HP:0001561 	Polyhydramnios 	The presence of excess amniotic fluid in the uterus during pregnancy.
HP:0001741 	Phimosis 	The male foreskin cannot be fully retracted from the head of the penis.
HP:0002310 	Orofacial dyskinesia 	Orofacial dyskinesia
HP:0007018 	Attention deficit hyperactivity disorder 	Attention deficit hyperactivity disorder (ADHD) manifests at age 2-3 years or by first grade at the latest. The main symptoms are distractibility, impulsivity, hyperactivity, and often trouble organizing tasks and projects, difficulty going to sleep, and social problems from being aggressive, loud, or impatient.
HP:0008872 	Feeding difficulties in infancy 	Impaired feeding performance of an infant as manifested by difficulties such as weak and ineffective sucking, brief bursts of sucking, and falling asleep during sucking. There may be difficulties with chewing or maintaining attention.
LDDB:01.02.00 	Obesity, general abnormalities 	If this feature is used all categories of 'obesity' will be chosen
LDDB:02.01.01 	Short stature, proportionate 	Proportionate implies that despite the short stature the relationship between the trunk length and limb length has not altered.
LDDB:05.01.02 	High frontal hairline 	Often seen in conjunction with 'bossed forehead'. If so use both features in the same box. The origin (roots) of the frontal hair seems posteriorly displaced.
LDDB:05.01.06 	Wide forehead 	Broad from side to side.
LDDB:05.02.00 	Forehead, small etc., general abnormalities 	A small forehead in its broadest meaning.
LDDB:06.01.02 	Asymmetric ears 	A difference in size between the two sides. If one is significantly smaller it might be better to use microtia.
LDDB:06.01.11 	Auricular tags 	These are pre-auricular hillocks, or nubbins of tissue. They are vestigeal remnants of the developing ear.
LDDB:06.01.15 	Small ears / microtia 	Small normal looking ears, but used by some for small dysplastic ears. Use the two together in the same box if in doubt.
LDDB:06.06.01 	Deafness, non-specific 	It might be better to use 'deafness general' to pick up all types.
LDDB:06.06.02 	Deafness, conductive 	Used synonymously with middle ear deafness.
LDDB:06.06.03 	Deafness, congenital 	Try to avoid this in favour of (mostly) sensori-neural deafness.
LDDB:06.06.05 	Deafness, sensorineural 	The nerve itself is involved.
LDDB:06.06.06 	Deafness, unilateral 	Use with caution as sensorineural or conductive deafness might be more appropriate.
LDDB:06.08.05 	Uplift of ear lobule 	The lobule is tilted upwards rather than hanging down.
LDDB:06.11.02 	Cochlear / saccular abnormalities 	Any abnormality seen mostly on imaging, or on electrophysiology.
LDDB:07.01.03 	Deep-set eyes 	A subjective observation of eyes that seem sunken in the skull.
LDDB:07.01.06 	Hypotelorism 	Eyes too closely set. Measured as an interpupillay distance less than 2SD of the mean.
LDDB:07.07.01 	Cataract 	Lens opacities of all types
LDDB:07.09.03 	Optic atrophy 	Pallor of the optic disk, with fewer than normal vessels on the surface. The pallor might initially be segmental (temporal) before becoming diffuse.
LDDB:07.13.03 	Hypermetropia 	Long sighted. Might be incidental - ask family.
LDDB:08.01.00 	Eyebrows, general abnormalities 	Anything wrong with the eyebrows.
LDDB:08.01.03 	Sparse / decreased eyebrows 	Difficult to quantify. Sometimes seen in conjunction with sparse scalp hair.
LDDB:08.05.03 	Short palpebral fissures 	The fissure is short in the horizontal plane i.e. from side to side.
LDDB:09.05.01 	Anteverted nares 	The nostrils normally point slightly laterally. Anteverted nares point forwards, so that you can look directly into the nasal cavity.
LDDB:10.01.00 	Face, general abnormalities 	This includes everything under face-general (click + to see what there is).
LDDB:10.01.13 	Small face 	Small, but not triangular.
LDDB:10.01.16 	Triangular face 	A broad forehead, and a small chin, with, the two sides of the triangle creating a small, delicate looking face. The head looks large (pseudo-hydrocephalus).
LDDB:13.01.07 	Irregular or crowded teeth 	The normal symmetry of tooth eruption is distorted resulting in irregular positioning and crowding. Might be secondary to alterations in jaw structure (see under 'mouth/mandible').
LDDB:15.01.03 	Low posterior / trident hairline 	A trident is a 3-pronged fish spear used by Neptune. A trident hairline has 3-forks pointing down the neck. Beware, it may be a normal feature.
LDDB:15.01.05 	Short neck 	The head seems to sit directly on the shoulders (or closer than normal to the shoulders).
LDDB:15.01.10 	Thick / broad neck 	A neck which seems overburdened with tissue.
LDDB:16.03.02 	Beaked / wedged vertebrae 	The body of the vertebrae slopes forwards. It looks like a triangular wedge (from the side).
LDDB:17.01.06 	Narrow thorax / funnel chest 	Narrow from side to side. If also hollowed out, use 'pectus excavatum' in same box with it.
LDDB:17.01.11 	Pleural effusion / chylothorax 	The presence of fluid, including lipid-laden, milky chyle in the pleural cavity.
LDDB:17.04.03 	Congenital hernia of diaphragm 	Posterior-lateral herniation (mostly through the foramen of Bochdalek) mostly without a membrane and often containing viscera.
LDDB:17.05.05 	Atrio-ventricular septal defect 	Includes the term AV-canal defects and endocardial cushion defects. Occurs in 4-5% of congenital heart disease. It might be used with ASD and VSD or "Heart - general" in same box. Partial defects include primum ASD, inlet VSD defects, cleft of mitral leaflet and cleft septal tricuspid leaflet - so don't be too particular. There is a separate feature for "primum septal defects".
LDDB:17.05.06 	Cardiomyopathy 	Includes hypertrophic and dilated cardiomyopathies.
LDDB:17.05.14 	Duplicated / right aortic arch 	A right aortic arch is a single arch that crosses over the right mainstem bronchus and passes to the right of the trachea. Note that it occurs in many patients with Fallot (use together). In double or duplicated aortic arch, both right and left aotic arches are present (one might be hypoplastic). They form a vascular ring around the trachea and oesophagus. Use "'Heart-general" liberally.
LDDB:17.05.20 	Pulmonary stenosis 	Includes valvular and supravalvular stenosis. Also includes peripheral pulmonary artery stenosis. Note that these lesions often occur with others. Be broad - use general features, or many individual features in the same box.
LDDB:17.07.02 	Supernumerary nipples 	"Extra nipples in the ""milk line"". Seen both normally and in some syndromes (also called polythelia)"
LDDB:18.01.03 	Constipation 	Sometimes a manifestation of Hirschprung disease, or secondary to gross hypotonia. Use with caution .
LDDB:18.05.06 	Enlarged liver 	Use in conjunction (same box) as abnormal function, to increase the yield.
LDDB:18.09.01 	Pyloric stenosis 	A tumour-like mass of pale muscle, 3-5cmm long, situated at the pylorus. It seems to derive from the circular layer of fibers.
LDDB:20.03.07 	Early puberty in male 	Onset of puberty before 9 years.
LDDB:21.03.00 	Kidneys, general abnormalities 	Any renal lesion.
LDDB:21.03.02 	Multiple renal cysts 	In infantile polycystic disease the kidneys are enlarged. The renal cysts are visible on the surface and are formed by the ends of the ectatic collecting ducts. Do not use for 'cystic dysplastic' kidneys, or alternatively use with 'renal dysplasia' in the same box. In medullary cystic disease the cysts are mainly in the medulla. This is included here.
LDDB:21.05.03 	Urethral stenosis / atresia 	This includes meatal stenosis and in males congenital strictures in the prostatic urethra. It includes urethral diaphragms,
LDDB:23.04.18 	Thick fingers 	Thick, 'juicy', swollen-looking fingers - they may also be tapered.
LDDB:23.06.07 	Short phalanges 	Use in same box as hypoplastic, as it might difficult to distinguish between the two.
LDDB:23.07.03 	Broad thumbs 	A broad, spatulate and sometimes deviated thumb.
LDDB:25.01.03 	Asymmetric lower limbs 	Usually one limb is smaller than the other. There is a separate feature for 'hypertrophy of lower limb'
LDDB:25.05.03 	Genu valgum 	Also called knock knees. The child stands with knees together and feet apart.
LDDB:26.01.00 	Feet, general abnormalities 	Anything wrong with the feet.
LDDB:26.01.03 	Abnormal / deep plantar creases 	There are deep furrows on the sole, often between the big and second toes or on the foot pad.
LDDB:26.01.12 	Long feet 	Long for age, mostly as judged by shoe size!
LDDB:26.01.13 	Narrow feet 	Often in conjunction with long feet. Narrow from side to side.
LDDB:28.03.02 	Hypoglycaemia 	Less than 2.2mmol/l in the older child, and less than 2.8mmol/l in the well neonate.
LDDB:32.03.02 	Apnoeic attacks in neonate 	"Attacks of ""stopping breathing""."
LDDB:32.04.01 	Abnormality in consciousness / coma / lethargy 	From failure to respond spontaneously, or on command, to failure to respond to pain etc.
LDDB:32.06.14 	Tonic seizures 	The seizure consists of tonic contractions without proceding to clonic jerking. The sudden contraction of large muscle groups might cause a child to be thrown to the ground.
LDDB:32.07.02 	Syncope / vaso vagal reflexes 	Decreased cerebral perfusion, caused by low blood pressure and culminating in loss of consciousness.
LDDB:32.10.02 	Prominent occiput 	A bulging (posteriorly) of the occiput.
LDDB:32.16.01 	Cerebellar ataxia / intention tremor 	A wide-based unsteady gait, titubation, an abnormal finger-nose test with increasing tremor as the nose or finger is reached.
LDDB:32.17.04 	Diplegia 	Weakness of the legs, to a greater extent than that of the arms. Use with 'brisk reflexes'.
LDDB:32.22.01 	Loss of pain sensation 	"Loss or dimunition of peripheral appreciation of pin prick. ""Is it sharp or blunt""?"
LDDB:32.25.01 	EEG: focal / localised discharges 	These are discharges of spikes or sharp waves over a distinct area of the montage. Suggests localized pathology.
LDDB:32.25.03 	EEG: generalised (poly)spikes / sharp waves 	There are synchronous (bilateral) discharges. See elsewhere for spike and wave complexes.
LDDB:32.31.09 	Cerebellar hemisphere hypoplasia 	Use if vermis is normal. If not, add vermis in separate box. Try, if dissatisfied, to use the two together as either/or.
LDDB:32.32.10 	Polymicrogyria 	Another result of a neuronal migration defect resulting in many, small gyri. There are separate entries for 'lissencephaly/pachygyria' and 'neuronal migration defects (mild), but be flexible, use in various combinations when necessary.
LDDB:32.32.14 	Dandy-Walker malformation 	A fourth ventricle malformation characterised by atresia of the foramina of Luschka and Magendi and a cystic malformation of the midline cerebellar structures.
LDDB:34.01.00 	Skin, general abnormalities 	Skin, general abnormalities
LDDB:34.03.07 	Nevi or lentigines 	"These include, epidermal nevi, melanocytic nevi and pigmented nevi. Lentigines are small, brown or black, round lesions (1-2mm in diameter) darker , with more uniform pigmentation, than freckles (ephelides). See also codes for ""Haemangiomas""."
LDDB:34.04.02 	Capillary haemangioma 	"This term is used for a ""port wine"", ""salmon patch"" or any cutaneous vascular lesion consisting of a dense network of capillaries."
HP:0000035 	Abnormality of the testis 	Abnormality of the testis
HP:0000049 	Shawl scrotum 	A condition in which the upper scrotal skin rises over the base of the penis.
HP:0000212 	Gingival overgrowth 	`Hyperplasia` (MPATH:134) of the `gingiva` (FMA:59762, that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.
HP:0000238 	Hydrocephalus 	Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.
HP:0000252 	Microcephaly 	Occipito-frontal (head) circumference (OFC) less than -3 standard deviations compared to appropriate, age matched, normal standards (Ross JJ, Frias JL 1977, PMID:9683597). Alternatively, decreased size of the `cranium` (FMA:46565).
HP:0000262 	Turricephaly 	Tall head relative to width and length.
HP:0000303 	Mandibular prognathia 	Abnormal prominence of the `chin` (FMA:46495) related to `increased length` (PATO:0000573) of the `mandible` (FMA:52748).
HP:0000319 	Smooth philtrum 	Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border.
HP:0000320 	Bird-like facies 	Bird-like facies
HP:0000341 	Narrow forehead 	Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective).
HP:0000347 	Micrognathia 	`Developmental hypoplasia` (MPATH:10060) of the `mandible` (FMA:52748).
HP:0000448 	Prominent nose 	Distance between subnasale and pronasale more than two standard deviations above the mean, or alternatively, an apparently increased anterior protrusion of the nasal tip.
HP:0000484 	Hyperopic astigmatism 	A form of astigmatism in which one meridian is hyperopic while the one at a right angle to it has no refractive error.
HP:0000646 	Amblyopia 	Reduced visual acuity that is uncorrectable by lenses in the absence of detectable anatomic defects in the eye or visual pathways. Ambylopia can result from visual deprivation during the critical period of development of visual abilities which lasts to about the age of 8 years. Thus, ambylopia can result from strabismus, anisometropia, or high hypermetropia in there is a failure to form a focused image in one or both eyes.
